contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
C,h1_exc,97,25,2.1074646,0.06634137,1.1401722,0.008057571,1.8489468,0.058130287,3.0125065,0.09156417,1.6533203125,1.8220949145458496,0.055381991095196446,0.0957278136259987,0.0034594606678258026,47
C,h1_exc,93,25,2.4245296,0.021792956,1.3417273,0.010148386,1.8096123,0.021634424,2.95206,0.034254678,1.6533203125,1.7855340933239108,0.020718716998526565,0.14691207799481457,0.003338830128883608,48
C,h1_exc,83,25,3.083629,0.02873082,1.7229239,0.0081926985,1.7901524,0.01617049,2.921367,0.025620881,1.6533203125,1.7669696691523809,0.015496622381762139,0.13327746585088973,0.003070267623726854,49
C,h1_exc,102,25,6.6690454,0.05811281,3.7309134,0.010285413,1.7880784,0.017421862,2.918055,0.027586125,1.6533203125,1.76496662584273,0.01668528707206714,0.13208413642828115,0.002977227144223056,50
C,h1_exc,120,25,1.201809,0.016089184,0.6733809,0.0062180473,1.7855148,0.020170763,2.9139287,0.031965002,1.6533203125,1.7624707501471795,0.019333823783707765,0.14964887287341855,0.0013645735202089122,51
C,h1_exc,40,25,3.72618,0.05150042,2.090226,0.0048966394,1.7829212,0.025079137,2.9096801,0.039791305,1.6533203125,1.7599010929344288,0.024067510049848605,0.08606015731281488,0.0043259910065307095,52
C,h1_exc,94,25,4.6550875,0.05201878,2.6369483,0.010609142,1.7657083,0.019956172,2.882539,0.03166339,1.6533203125,1.7434848812886679,0.019151395109309275,0.13259274679684446,0.001996475991140038,53
C,h1_exc,27,25,2.9922385,0.07582599,1.7585466,0.0064456323,1.7035648,0.04590737,2.7828405,0.07286032,1.6533203125,1.6831830125139284,0.044069090250688336,0.12493756808838938,0.0035383847125259956,54
C,h1_exc,18,25,2.3449636,0.03390502,1.3816085,0.008088526,1.6983197,0.025637848,2.7754087,0.040733844,1.6533203125,1.6786877851802935,0.024637598828056335,0.15320204474972496,0.0025758106085412764,55
C,h1_exc,65,25,4.1350765,0.041347217,2.438322,0.0075292545,1.6967894,0.019792305,2.7731423,0.031426877,1.6533203125,1.6773171021370485,0.01900834136755465,0.1271560627220827,0.004141866488246149,56
C,h1_exc,12,25,2.1115463,0.01896924,1.2557933,0.016148042,1.6846462,0.014872856,2.7539475,0.02364374,1.6533203125,1.6657071584591163,0.014300761333068039,0.1382246519098674,0.0019231104543892534,57
C,h1_exc,14,25,2.443604,0.045247726,1.4703608,0.009514842,1.6631263,0.031588577,2.7192383,0.050247133,1.6533203125,1.6447134644226282,0.03039164906581873,0.07582983315404583,0.0020897315725682724,58
C,h1_exc,67,25,2.066824,0.031650383,1.267629,0.010989551,1.6301991,0.019282714,2.6672163,0.03069716,1.6533203125,1.613248240159311,0.018566975964195744,0.12711597913770034,0.0018914507152154778,59
C,h1_exc,79,25,1.9884053,0.011409875,1.2424079,0.008235917,1.6012013,0.008562041,2.6211982,0.013653213,1.6533203125,1.5854146055078144,0.008258056546234,0.15748493077172926,0.0017596276817208616,60
C,h1_exc,71,25,2.0674713,0.023917185,1.3142343,0.013636181,1.5732085,0.008525752,2.5765536,0.013608591,1.6533203125,1.558411637336453,0.008231067216683015,0.13402162071555013,0.0020984442146550243,61
C,h1_exc,60,25,2.6977477,0.030170977,1.7215556,0.012504395,1.5681939,0.017907102,2.5683963,0.02856856,1.6533203125,1.5534777586653945,0.017279507250166255,0.0885468108058204,0.0021611022778236467,62
C,h1_exc,24,25,2.3559573,0.01954774,1.5444603,0.0085103735,1.5260255,0.012843312,2.501152,0.020533636,1.6533203125,1.512805511283297,0.012419635810475674,0.11397636805487808,0.001968918142830008,63
C,h1_exc,125,25,1.4065781,0.010963478,0.96097213,0.011591694,1.4660056,0.01036481,2.4051778,0.016590752,1.6533203125,1.4547560755372404,0.010034808118442321,0.11291041649198616,0.001451341709926841,64
C,h1_exc,19,25,1.9445392,0.029063217,1.3323579,0.010004986,1.4598621,0.020386597,2.3951457,0.032589905,1.6533203125,1.4486882364939058,0.019711790480687556,0.1310445175776497,0.0020330071865668447,65
C,h1_exc,110,25,1.3733647,0.015343107,0.9417918,0.0075811977,1.4586685,0.013302033,2.3933842,0.02129759,1.6533203125,1.4476228027750841,0.012881708563154766,0.0999175371804069,0.002078257670552165,66
