contour_type,layer,channel,mean_activation_on_contour_pct_full_td,mean_activation_on_contour_pct_no_td,mean_contour_enrichment_full_td,mean_contour_enrichment_no_td,mean_contour_preference_ratio_full_td,mean_contour_preference_ratio_no_td,mean_dice_top_activation_full_td,mean_dice_top_activation_no_td,td_effect_contour_preference_ratio,td_effect_activation_on_contour_pct,td_effect_contour_enrichment,td_effect_dice_top_activation
C,h1_exc,120,2.9139287,1.9294128,1.7624707501471795,1.1669927861063905,1.7855148,1.170282,0.14964887287341855,0.03769019166573941,0.6152328,0.9845159,0.595477964040789,0.11195868120767913
C,h1_exc,121,3.6598313,1.9867398,2.213625011991276,1.2016666353641443,2.2610028,1.205756,0.16724712980795503,0.05951227687919256,1.0552468,1.6730915,1.0119583766271316,0.10773485292876248
C,h1_exc,122,1.7212491,1.9728798,1.0410862969092742,1.19328346932193,1.0418512,1.1971757,0.04566161065947736,0.045695131148876474,-0.15532458,-0.25163066,-0.15219717241265585,-3.352048939911367e-05
C,h1_exc,123,3.346446,2.0291746,2.0240760142729397,1.2273329155959751,2.0597904,1.2320421,0.17544624151497906,0.04277884857115329,0.8277483,1.3172715,0.7967430986769646,0.13266739294382576
C,h1_exc,124,0.60973215,1.343011,0.3687925313059115,0.8123114170033188,0.36493638,0.80975974,7.37450766780577e-05,0.018664145579801263,-0.44482335,-0.7332789,-0.4435188856974073,-0.018590400503123206
C,h1_exc,125,2.4051778,1.9431697,1.4547560755372404,1.1753135109849984,1.4660056,1.1787885,0.11291041649198615,0.0475320539679481,0.28721702,0.46200812,0.27944256455224203,0.06537836252403804
C,h1_exc,126,1.565146,1.5045241,0.9466683125792922,0.910001603833998,0.94587326,0.9086283,0.03256850750018221,0.028552752870167977,0.037244976,0.060621858,0.03666670874529421,0.004015754630014235
C,h1_exc,127,1.7439749,1.8073702,1.0548318235584524,1.0931760394000678,1.0558654,1.0948933,0.0672954806001008,0.03490153356236076,-0.03902793,-0.06339526,-0.0383442158416154,0.03239394703774003
straight,h1_exc,0,3.3948681,0.82091516,4.104303368464133,0.9924640788643508,4.2218804,0.99240327,0.12346712365822723,0.018544241002959733,3.2294772,2.573953,3.111839289599782,0.1049228826552675
straight,h1_exc,1,1.665849,0.71403265,2.0139661395481685,0.8632461230909277,2.0314803,0.86226344,0.10392712185433035,0.0052529794849581505,1.1692169,0.9518163,1.1507200164572406,0.0986741423693722
straight,h1_exc,2,1.4493349,0.9083115,1.7522064595248663,1.098123905818025,1.7641319,1.0990283,0.0640026760667475,0.015910525841060782,0.66510355,0.5410234,0.6540825537068413,0.04809215022568672
straight,h1_exc,3,0.7355586,0.58922666,0.8892704007887718,0.712359009544687,0.8886948,0.7106592,0.004343826102638816,0.0033192026697904577,0.17803562,0.14633197,0.17691139124408484,0.0010246234328483584
